strategy_entropy,avg_branching_factor,unique_paths,question_id
3.322,4.0,10,0
3.322,4.143,10,1
3.322,4.364,10,2
3.322,3.4,10,3
3.322,4.889,10,4
3.322,4.538,10,5
3.322,3.727,10,6
3.322,5.0,10,7
3.322,4.438,10,8
3.322,4.444,10,9
3.322,3.917,10,10
3.322,4.0,10,11
3.322,4.176,10,12
3.322,4.556,10,13
3.322,4.444,10,14
3.322,3.684,10,15
3.322,4.385,10,16
3.322,3.765,10,17
3.322,3.571,10,18
3.322,4.278,10,19
3.322,4.0,10,20
3.322,4.0,10,21
3.322,3.812,10,22
3.322,4.0,10,23
3.322,4.0,10,24
3.322,3.316,10,25
3.322,3.909,10,26
3.322,3.917,10,27
3.322,3.125,10,28
3.322,3.143,10,29
3.322,3.375,10,30
3.322,4.2,10,31
3.322,2.875,10,32
3.322,4.346,10,33
3.322,4.667,10,34
3.322,4.091,10,35
3.322,3.333,10,36
3.322,3.789,10,37
3.322,3.812,10,38
3.322,4.368,10,39
3.322,2.929,10,40
3.322,4.273,10,41
3.322,3.5,10,42
3.322,5.2,10,43
3.322,3.562,10,44
3.322,3.429,10,45
3.322,4.611,10,46
3.322,3.923,10,47
3.322,3.308,10,48
3.322,4.273,10,49
