strategy_entropy,avg_branching_factor,unique_paths,question_id,entropy,branching
2.322,2.333,6.0,0,,
2.161,2.25,6.0,1,,
2.161,2.5,6.0,2,,
,,,3,1.295461844238322,0.0
2.046,2.6,5.0,4,,
1.357,1.667,4.0,5,,
1.357,1.75,4.0,6,,
3.322,3.778,10.0,7,,
1.771,2.636,5.0,8,,
1.571,1.0,4.0,9,,
1.357,1.5,4.0,10,,
2.522,2.125,7.0,11,,
2.846,2.923,8.0,12,,
0.469,1.0,2.0,13,,
2.846,3.0,8.0,14,,
2.522,2.286,7.0,15,,
0.469,1.0,2.0,16,,
2.446,2.222,6.0,17,,
1.357,1.6,4.0,18,,
2.322,1.0,6.0,19,,
3.322,3.231,10.0,20,,
0.469,1.0,2.0,21,,
2.522,1.7,7.0,22,,
,,,23,0.4689955935892812,0.0
,,,24,1.3609640474436813,0.0
2.922,2.167,8.0,25,,
0.469,1.5,2.0,26,,
1.771,2.0,5.0,27,,
0.922,1.0,3.0,28,,
,,,29,0.0,0.0
0.922,1.0,3.0,30,,
,,,31,0.9709505944546686,0.0
1.357,1.5,4.0,32,,
1.357,1.273,4.0,33,,
1.771,2.4,5.0,34,,
2.922,2.429,8.0,35,,
0.922,1.5,3.0,36,,
1.357,2.444,4.0,37,,
2.322,1.889,6.0,38,,
3.122,2.231,9.0,39,,
,,,40,0.4689955935892812,0.0
0.922,1.75,3.0,41,,
3.322,3.0,10.0,42,,
0.922,1.0,3.0,43,,
2.046,2.0,5.0,44,,
1.357,1.667,4.0,45,,
2.922,1.889,8.0,46,,
1.846,1.875,4.0,47,,
2.322,1.571,6.0,48,,
2.046,1.167,5.0,49,,
